SITE_ID,PROGRAM_ID,DATE_SMP,SAMPLE_LOCATION,SAMPLE_TYPE,WATERBODY_TYPE,SAMPLE_DEPTH,TIME_SMP,ANC_UEQ_L,CA_UEQ_L,CHL_A_UG_L,CL_UEQ_L,COND_UM_CM,DOC_MG_L,F_UEQ_L,K_UEQ_L,MG_UEQ_L,NA_UEQ_L,NH4_UEQ_L,NO3_UEQ_L,N_TD_UEQ_L,PH_EQ,PH_FLD,PH_LAB,PH_STVL,P_TL_UEQ_L,SECCHI_M,SIO2_MG_L,SO4_UEQ_L,WTEMP_DEG_C
030172,LTM_ALTM,2007-11-01 00:00:00,EPI,Regular,Lake,0.5,1008,92.81,88.822,,4.794,15.458,7.057,0.84224,11.264,43.619,4.35,0.8864,0.3381,,7.09,,6.324,,,,0.16,23.712,
040887,LTM_ALTM,2007-11-01 00:00:00,EPI,Regular,Lake,0.5,1216,-11.73,48.403,,9.588,21.255,9.382,2.31616,5.888,19.752,19.575,1.7728,3.8318,,4.67,,4.696,,,,5.31,81.744,
030171,LTM_ALTM,2007-11-01 00:00:00,EPI,Regular,Lake,0.5,0955,-19.72,20.958,,5.922,16.17,8.845,1.42128,7.68,11.522,4.785,0.6094,0.3381,,4.59,,4.563,,,,0.49,31.408,
1A1-089,LTM_ALTM,2007-11-01 00:00:00,EPI,Regular,Lake,0.5,1051,20.6,79.341,,7.896,17.391,3.131,3.26368,7.68,23.867,19.575,0.6648,12.8961,,6.13,,5.936,,,,2.36,78.0,
VT26,VTSSS,2007-10-31 00:00:00,Stream,Regular,Stream,,,-3.11,47.95,,26.18,16.0,,,6.98,35.62,14.17,0.0,0.0,,,,5.13,,,,80.88,84.7,9.0
VT10,VTSSS,2007-10-31 00:00:00,Stream,Regular,Stream,,,48.6,43.77,,19.66,12.7,,,14.61,34.57,22.3,0.0,0.0,,,,6.47,,,,83.6,45.81,9.0
VT29,VTSSS,2007-10-31 00:00:00,Stream,Regular,Stream,,,0.87,23.85,,17.08,10.7,,,7.47,25.42,10.26,0.0,0.8,,,,5.31,,,,60.58,48.52,10.0
VT11,VTSSS,2007-10-31 00:00:00,Stream,Regular,Stream,,,32.83,32.7,,14.44,10.4,,,12.68,33.36,12.18,0.0,0.8,,,,6.12,,,,80.82,39.21,9.0
VT24,VTSSS,2007-10-31 00:00:00,Stream,Regular,Stream,,,43.47,74.0,,14.89,13.5,,,9.64,27.41,13.14,0.0,0.0,,,,6.46,,,,103.72,65.38,7.0
VT32,VTSSS,2007-10-31 00:00:00,Stream,Regular,Stream,,,13.43,57.99,,22.23,14.7,,,8.94,40.51,11.17,0.0,0.0,,,,5.89,,,,59.94,79.77,5.0
VT28,VTSSS,2007-10-31 00:00:00,Stream,Regular,Stream,,,11.08,24.33,,14.24,9.2,,,7.5,23.8,11.39,0.0,0.81,,,,5.81,,,,93.74,37.7,7.0
VT14,VTSSS,2007-10-31 00:00:00,Stream,Regular,Stream,,,27.15,34.79,,17.4,11.3,,,12.47,34.87,14.2,0.0,0.0,,,,6.23,,,,82.56,48.8,10.0
VT48,VTSSS,2007-10-31 00:00:00,Stream,Regular,Stream,,,70.99,41.31,,22.17,20.4,,,40.38,64.1,46.82,0.0,0.0,,,,6.63,,,,131.27,93.64,8.0
VT25,VTSSS,2007-10-31 00:00:00,Stream,Regular,Stream,,,10.83,25.22,,17.97,9.5,,,10.29,27.0,12.56,0.0,0.0,,,,5.83,,,,86.13,43.43,8.0
VT12,VTSSS,2007-10-31 00:00:00,Stream,Regular,Stream,,,152.29,104.93,,17.98,21.3,,,17.69,86.52,12.92,0.0,0.0,,,,6.83,,,,68.27,46.3,9.5
